,type,unit,creationDate,startDate,endDate,value
63286,AppleStandHour,,2023-01-01 10:09:38+10:00,2023-01-01 10:00:00+10:00,2023-01-01 11:00:00+10:00,
11252,StepCount,count,2023-01-01 10:00:29+10:00,2023-01-01 10:00:04+10:00,2023-01-01 10:00:27+10:00,23.0
16378,DistanceWalkingRunning,km,2023-01-01 10:00:29+10:00,2023-01-01 10:00:04+10:00,2023-01-01 10:00:27+10:00,0.0180393
28139,ActiveEnergyBurned,kJ,2023-01-01 10:02:25+10:00,2023-01-01 10:00:34+10:00,2023-01-01 10:01:35+10:00,1.70707
16379,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:00:42+10:00,2023-01-01 10:00:44+10:00,0.0148289
11253,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:00:42+10:00,2023-01-01 10:00:44+10:00,18.0
28140,ActiveEnergyBurned,kJ,2023-01-01 10:03:56+10:00,2023-01-01 10:01:35+10:00,2023-01-01 10:02:16+10:00,0.493712
11254,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:01:46+10:00,2023-01-01 10:02:42+10:00,8.0
16380,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:01:46+10:00,2023-01-01 10:02:42+10:00,0.00561965
28141,ActiveEnergyBurned,kJ,2023-01-01 10:03:56+10:00,2023-01-01 10:02:16+10:00,2023-01-01 10:03:18+10:00,2.30538
16381,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:03:07+10:00,2023-01-01 10:03:10+10:00,0.00603114
11255,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:03:07+10:00,2023-01-01 10:03:10+10:00,9.0
28142,ActiveEnergyBurned,kJ,2023-01-01 10:07:14+10:00,2023-01-01 10:03:18+10:00,2023-01-01 10:04:19+10:00,0.681992
28143,ActiveEnergyBurned,kJ,2023-01-01 10:07:14+10:00,2023-01-01 10:04:19+10:00,2023-01-01 10:05:20+10:00,2.10037
56861,AppleStandTime,min,2023-01-01 10:10:04+10:00,2023-01-01 10:05:00+10:00,2023-01-01 10:10:00+10:00,1.0
11256,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:05:18+10:00,2023-01-01 10:05:58+10:00,9.0
16382,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:05:18+10:00,2023-01-01 10:05:58+10:00,0.006179
28144,ActiveEnergyBurned,kJ,2023-01-01 10:07:14+10:00,2023-01-01 10:05:20+10:00,2023-01-01 10:06:21+10:00,1.5439
28145,ActiveEnergyBurned,kJ,2023-01-01 10:08:41+10:00,2023-01-01 10:06:21+10:00,2023-01-01 10:07:23+10:00,3.46435
16383,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:06:52+10:00,2023-01-01 10:07:46+10:00,0.0214942
11257,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:06:52+10:00,2023-01-01 10:07:46+10:00,28.0
28146,ActiveEnergyBurned,kJ,2023-01-01 10:08:41+10:00,2023-01-01 10:07:23+10:00,2023-01-01 10:07:53+10:00,0.56484
28147,ActiveEnergyBurned,kJ,2023-01-01 10:09:24+10:00,2023-01-01 10:07:53+10:00,2023-01-01 10:08:55+10:00,1.38909
28148,ActiveEnergyBurned,kJ,2023-01-01 10:10:27+10:00,2023-01-01 10:08:55+10:00,2023-01-01 10:09:56+10:00,4.9162
11258,StepCount,count,2023-01-01 10:10:50+10:00,2023-01-01 10:08:57+10:00,2023-01-01 10:09:28+10:00,43.0
16384,DistanceWalkingRunning,km,2023-01-01 10:10:50+10:00,2023-01-01 10:08:57+10:00,2023-01-01 10:09:28+10:00,0.0304414
28149,ActiveEnergyBurned,kJ,2023-01-01 10:10:50+10:00,2023-01-01 10:09:56+10:00,2023-01-01 10:10:47+10:00,1.68615
56862,AppleStandTime,min,2023-01-01 10:15:56+10:00,2023-01-01 10:10:00+10:00,2023-01-01 10:15:00+10:00,1.0
2,HeartRate,count/min,2023-01-01 10:10:27+10:00,2023-01-01 10:10:09+10:00,2023-01-01 10:10:09+10:00,75.0
28150,ActiveEnergyBurned,kJ,2023-01-01 10:12:11+10:00,2023-01-01 10:10:47+10:00,2023-01-01 10:11:48+10:00,2.49366
28151,ActiveEnergyBurned,kJ,2023-01-01 10:13:41+10:00,2023-01-01 10:11:48+10:00,2023-01-01 10:12:50+10:00,3.27607
16385,DistanceWalkingRunning,km,2023-01-01 10:20:59+10:00,2023-01-01 10:11:53+10:00,2023-01-01 10:12:52+10:00,0.0154847
11259,StepCount,count,2023-01-01 10:20:59+10:00,2023-01-01 10:11:53+10:00,2023-01-01 10:12:52+10:00,20.0
22180,BasalEnergyBurned,kJ,2023-01-01 10:28:25+10:00,2023-01-01 10:12:19+10:00,2023-01-01 10:12:29+10:00,0.966504
22181,BasalEnergyBurned,kJ,2023-01-01 10:28:25+10:00,2023-01-01 10:12:29+10:00,2023-01-01 10:27:48+10:00,80.7721
28152,ActiveEnergyBurned,kJ,2023-01-01 10:14:49+10:00,2023-01-01 10:12:50+10:00,2023-01-01 10:13:51+10:00,2.7196
54526,EnvironmentalAudioExposure,dBASPL,2023-01-01 10:17:55+10:00,2023-01-01 10:13:21+10:00,2023-01-01 10:43:20+10:00,66.1125
11260,StepCount,count,2023-01-01 10:20:59+10:00,2023-01-01 10:13:46+10:00,2023-01-01 10:14:44+10:00,32.0
16386,DistanceWalkingRunning,km,2023-01-01 10:20:59+10:00,2023-01-01 10:13:46+10:00,2023-01-01 10:14:44+10:00,0.0217016
28153,ActiveEnergyBurned,kJ,2023-01-01 10:15:55+10:00,2023-01-01 10:13:51+10:00,2023-01-01 10:14:42+10:00,3.97062
28154,ActiveEnergyBurned,kJ,2023-01-01 10:15:56+10:00,2023-01-01 10:14:42+10:00,2023-01-01 10:15:43+10:00,2.8493
56863,AppleStandTime,min,2023-01-01 10:20:04+10:00,2023-01-01 10:15:00+10:00,2023-01-01 10:20:00+10:00,1.0
28155,ActiveEnergyBurned,kJ,2023-01-01 10:16:56+10:00,2023-01-01 10:15:43+10:00,2023-01-01 10:16:44+10:00,1.35562
28156,ActiveEnergyBurned,kJ,2023-01-01 10:17:55+10:00,2023-01-01 10:16:44+10:00,2023-01-01 10:17:25+10:00,0.89956
28157,ActiveEnergyBurned,kJ,2023-01-01 10:18:40+10:00,2023-01-01 10:17:25+10:00,2023-01-01 10:18:16+10:00,1.5941
28158,ActiveEnergyBurned,kJ,2023-01-01 10:19:48+10:00,2023-01-01 10:18:16+10:00,2023-01-01 10:19:18+10:00,2.60663
11261,StepCount,count,2023-01-01 10:20:59+10:00,2023-01-01 10:18:44+10:00,2023-01-01 10:19:43+10:00,46.0
16387,DistanceWalkingRunning,km,2023-01-01 10:20:59+10:00,2023-01-01 10:18:44+10:00,2023-01-01 10:19:43+10:00,0.0338147
28159,ActiveEnergyBurned,kJ,2023-01-01 10:20:59+10:00,2023-01-01 10:19:18+10:00,2023-01-01 10:20:09+10:00,4.33881
56864,AppleStandTime,min,2023-01-01 10:25:02+10:00,2023-01-01 10:20:00+10:00,2023-01-01 10:25:00+10:00,1.0
63980,HandwashingEvent,,2023-01-01 10:20:52+10:00,2023-01-01 10:20:36+10:00,2023-01-01 10:20:52+10:00,
16388,DistanceWalkingRunning,km,2023-01-01 10:20:59+10:00,2023-01-01 10:20:44+10:00,2023-01-01 10:20:47+10:00,0.00134025
11262,StepCount,count,2023-01-01 10:20:59+10:00,2023-01-01 10:20:44+10:00,2023-01-01 10:20:47+10:00,2.0
28160,ActiveEnergyBurned,kJ,2023-01-01 10:22:46+10:00,2023-01-01 10:20:50+10:00,2023-01-01 10:21:20+10:00,1.36398
3,HeartRate,count/min,2023-01-01 10:22:46+10:00,2023-01-01 10:21:54+10:00,2023-01-01 10:21:54+10:00,79.0
28161,ActiveEnergyBurned,kJ,2023-01-01 10:25:59+10:00,2023-01-01 10:22:01+10:00,2023-01-01 10:23:02+10:00,2.4309
28162,ActiveEnergyBurned,kJ,2023-01-01 10:25:59+10:00,2023-01-01 10:23:23+10:00,2023-01-01 10:24:24+10:00,1.46858
4,HeartRate,count/min,2023-01-01 10:28:25+10:00,2023-01-01 10:23:41+10:00,2023-01-01 10:23:41+10:00,76.0
16389,DistanceWalkingRunning,km,2023-01-01 10:36:06+10:00,2023-01-01 10:24:06+10:00,2023-01-01 10:25:46+10:00,0.0380456
11263,StepCount,count,2023-01-01 10:36:06+10:00,2023-01-01 10:24:06+10:00,2023-01-01 10:25:46+10:00,56.0
28163,ActiveEnergyBurned,kJ,2023-01-01 10:25:59+10:00,2023-01-01 10:24:24+10:00,2023-01-01 10:25:25+10:00,3.0585
56865,AppleStandTime,min,2023-01-01 10:30:35+10:00,2023-01-01 10:25:00+10:00,2023-01-01 10:30:00+10:00,1.0
28164,ActiveEnergyBurned,kJ,2023-01-01 10:28:25+10:00,2023-01-01 10:25:36+10:00,2023-01-01 10:26:37+10:00,2.66102
28165,ActiveEnergyBurned,kJ,2023-01-01 10:28:25+10:00,2023-01-01 10:26:37+10:00,2023-01-01 10:27:07+10:00,0.958136
28166,ActiveEnergyBurned,kJ,2023-01-01 10:29:41+10:00,2023-01-01 10:27:48+10:00,2023-01-01 10:28:50+10:00,0.56484
22182,BasalEnergyBurned,kJ,2023-01-01 10:43:34+10:00,2023-01-01 10:27:48+10:00,2023-01-01 10:42:47+10:00,74.2534
